NNS,VBP,IN,JJ,NNP,NN,VBG,VBN,VBD,VBZ,NNPS,VB,RB,MD,JJR,JJS,CD,RP,CC,WP$,DT,RBR,WP,UH,PDT,EX,PRP,$,WDT,WRB,FW,RBS,'',SYM,sentence_count,word_count
28.0,2.0,9.0,47.0,89.0,93.0,18.0,12.0,5.0,13.0,3.0,20.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,599.0
14.0,3.0,1.0,12.0,36.0,36.0,1.0,11.0,8.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,222.0
26.0,2.0,2.0,41.0,56.0,57.0,6.0,4.0,8.0,8.0,0.0,20.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,418.0
51.0,2.0,5.0,83.0,109.0,105.0,18.0,7.0,15.0,11.0,2.0,26.0,13.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,757.0
55.0,2.0,5.0,69.0,78.0,103.0,19.0,24.0,11.0,11.0,2.0,21.0,22.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,865.0
38.0,7.0,4.0,53.0,97.0,115.0,14.0,21.0,9.0,5.0,1.0,24.0,27.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,815.0
32.0,5.0,2.0,41.0,86.0,107.0,24.0,17.0,4.0,8.0,2.0,12.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,660.0
63.0,7.0,7.0,55.0,170.0,117.0,14.0,20.0,23.0,8.0,4.0,33.0,25.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,965.0
30.0,1.0,4.0,20.0,77.0,39.0,16.0,7.0,14.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,344.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2.0,4.0,53.0,113.0,101.0,23.0,9.0,19.0,4.0,2.0,33.0,13.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,729.0
