NNS,VBP,NNP,VBD,NN,JJ,VBN,IN,NNPS,VBG,VBZ,VB,MD,CD,RB,DT,JJR,RBR,JJS,CC,FW,PRP,PDT,RP,WDT,WP$,WRB,UH,sentence_count,word_count
4.0,0.0,18.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,55
34.0,2.0,150.0,18.0,120.0,33.0,9.0,5.0,5.0,26.0,7.0,15.0,3.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,785
0.0,0.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17
38.0,2.0,96.0,5.0,138.0,66.0,22.0,8.0,0.0,15.0,10.0,13.0,0.0,3.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,772
7.0,0.0,28.0,9.0,36.0,13.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,179
61.0,7.0,59.0,15.0,115.0,56.0,21.0,5.0,1.0,10.0,8.0,26.0,5.0,6.0,22.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,790
4.0,4.0,27.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,72
10.0,0.0,28.0,7.0,48.0,15.0,6.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,248
8.0,1.0,31.0,8.0,25.0,10.0,2.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,189
43.0,4.0,134.0,7.0,112.0,84.0,20.0,7.0,2.0,19.0,13.0,33.0,8.0,8.0,33.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59,997
71.0,10.0,172.0,9.0,181.0,85.0,23.0,18.0,0.0,12.0,11.0,50.0,3.0,6.0,36.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56,1353
54.0,1.0,94.0,19.0,111.0,51.0,11.0,1.0,3.0,24.0,11.0,22.0,2.0,1.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,736
34.0,5.0,86.0,16.0,62.0,20.0,11.0,6.0,3.0,3.0,4.0,14.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15,439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30.0,0.0,50.0,10.0,97.0,46.0,18.0,2.0,0.0,27.0,3.0,13.0,1.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,485
1.0,2.0,34.0,0.0,10.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,79
12.0,1.0,28.0,5.0,16.0,9.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,147
44.0,3.0,58.0,15.0,60.0,33.0,7.0,3.0,0.0,12.0,7.0,15.0,0.0,1.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,451
